study_id,outcome,climate_zone,treatment,control,mean_t,sd_t,n_t,mean_c,sd_c,n_c,effect_id,lnRR,yi,vi,sei,measure
BC01,yield,semiarid,biochar,no_biochar,4.009,0.3849,5,3.8,0.38,5,BC01_yield,0.053540766928,0.053540766928,0.0038432,0.0619935480514,ROM
BC01,soil_C,semiarid,biochar,no_biochar,16.24,1.4031,5,14.5,1.305,5,BC01_soil_C,0.113328685307,0.113328685307,0.003112992,0.0557941932463,ROM
BC01,N2O,semiarid,biochar,no_biochar,1.98,0.2661,5,2.2,0.308,5,BC01_N2O,-0.105360515658,-0.105360515658,0.007532672,0.0867909672719,ROM
BC02,yield,transition,biochar,no_biochar,4.2307,0.4062,6,3.98,0.398,6,BC02_yield,0.0610950993598,0.0610950993598,0.00320266666667,0.0565921078125,ROM
BC02,soil_C,transition,biochar,no_biochar,17.2064,1.4866,6,15.2,1.368,6,BC02_soil_C,0.123985979781,0.123985979781,0.00259416,0.0509328970313,ROM
BC02,N2O,transition,biochar,no_biochar,2.0292,0.2727,6,2.28,0.3192,6,BC02_N2O,-0.116533816256,-0.116533816256,0.00627722666667,0.0792289509376,ROM
BC03,yield,humid,biochar,no_biochar,4.4554,0.4277,5,4.16,0.416,5,BC03_yield,0.0685927914656,0.0685927914656,0.0038432,0.0619935480514,ROM
BC03,soil_C,humid,biochar,no_biochar,18.1896,1.5716,5,15.9,1.431,5,BC03_soil_C,0.134530892958,0.134530892958,0.003112992,0.0557941932463,ROM
BC03,N2O,humid,biochar,no_biochar,2.0768,0.2791,5,2.36,0.3304,5,BC03_N2O,-0.12783337151,-0.12783337151,0.007532672,0.0867909672719,ROM
BC04,yield,semiarid,biochar,no_biochar,4.5787,0.4396,4,4.34,0.434,4,BC04_yield,0.053540766928,0.053540766928,0.004804,0.0693108938047,ROM
BC04,soil_C,semiarid,biochar,no_biochar,19.1896,1.658,4,16.6,1.494,4,BC04_soil_C,0.14496577025,0.14496577025,0.00389124,0.0623798044242,ROM
BC04,N2O,semiarid,biochar,no_biochar,2.196,0.2951,4,2.44,0.3416,4,BC04_N2O,-0.105360515658,-0.105360515658,0.00941584,0.0970352513265,ROM
BC05,yield,transition,biochar,no_biochar,4.8048,0.4613,6,4.52,0.452,6,BC05_yield,0.0610950993598,0.0610950993598,0.00320266666667,0.0565921078125,ROM
BC05,soil_C,transition,biochar,no_biochar,19.376,1.6741,6,17.3,1.557,6,BC05_soil_C,0.113328685307,0.113328685307,0.00259416,0.0509328970313,ROM
BC05,N2O,transition,biochar,no_biochar,2.2428,0.3014,6,2.52,0.3528,6,BC05_N2O,-0.116533816256,-0.116533816256,0.00627722666667,0.0792289509376,ROM
BC06,yield,humid,biochar,no_biochar,5.0337,0.4832,5,4.7,0.47,5,BC06_yield,0.0685927914656,0.0685927914656,0.0038432,0.0619935480514,ROM
BC06,soil_C,humid,biochar,no_biochar,20.376,1.7605,5,18.0,1.62,5,BC06_soil_C,0.123985979781,0.123985979781,0.003112992,0.0557941932463,ROM
BC06,N2O,humid,biochar,no_biochar,2.288,0.3075,5,2.6,0.364,5,BC06_N2O,-0.12783337151,-0.12783337151,0.007532672,0.0867909672719,ROM
BC07,yield,transition,biochar,no_biochar,5.1484,0.4942,5,4.88,0.488,5,BC07_yield,0.053540766928,0.053540766928,0.0038432,0.0619935480514,ROM
BC07,soil_C,transition,biochar,no_biochar,21.3928,1.8483,5,18.7,1.683,5,BC07_soil_C,0.134530892958,0.134530892958,0.003112992,0.0557941932463,ROM
BC07,N2O,transition,biochar,no_biochar,2.412,0.3242,5,2.68,0.3752,5,BC07_N2O,-0.105360515658,-0.105360515658,0.007532672,0.0867909672719,ROM
BC08,yield,semiarid,biochar,no_biochar,5.3788,0.5164,6,5.06,0.506,6,BC08_yield,0.0610950993598,0.0610950993598,0.00320266666667,0.0565921078125,ROM
BC08,soil_C,semiarid,biochar,no_biochar,22.4264,1.9376,6,19.4,1.746,6,BC08_soil_C,0.14496577025,0.14496577025,0.00259416,0.0509328970313,ROM
BC08,N2O,semiarid,biochar,no_biochar,2.4564,0.3301,6,2.76,0.3864,6,BC08_N2O,-0.116533816256,-0.116533816256,0.00627722666667,0.0792289509376,ROM
