study_id,crop,treatment,control,mean_t,sd_t,n_t,mean_c,sd_c,n_c
CV01,soybean,cover_crop,fallow,4.576,0.516,5,4.4,0.6,5
CV02,cotton,cover_crop,fallow,5.04,0.585,6,4.8,0.65,6
CV03,maize,cover_crop,fallow,5.512,0.517,4,5.2,0.55,4
CV04,soybean,cover_crop,fallow,4.28,0.492,5,4.0,0.6,5
CV05,cotton,cover_crop,fallow,4.532,0.559,6,4.4,0.65,6
CV06,maize,cover_crop,fallow,4.992,0.495,4,4.8,0.55,4
CV07,soybean,cover_crop,fallow,5.46,0.564,5,5.2,0.6,5
CV08,cotton,cover_crop,fallow,4.24,0.533,6,4.0,0.65,6
CV09,maize,cover_crop,fallow,4.708,0.473,4,4.4,0.55,4
CV10,soybean,cover_crop,fallow,4.944,0.54,5,4.8,0.6,5
CV11,cotton,cover_crop,fallow,5.408,0.611,6,5.2,0.65,6
CV12,maize,cover_crop,fallow,4.2,0.451,4,4.0,0.55,4
CV13,soybean,cover_crop,fallow,4.664,0.516,5,4.4,0.6,5
CV14,cotton,cover_crop,fallow,5.136,0.585,6,4.8,0.65,6
CV15,maize,cover_crop,fallow,5.356,0.517,4,5.2,0.55,4
CV16,soybean,cover_crop,fallow,4.16,0.492,5,4.0,0.6,5
CV17,cotton,cover_crop,fallow,4.62,0.559,6,4.4,0.65,6
CV18,maize,cover_crop,fallow,5.088,0.495,4,4.8,0.55,4
