study_id,experiment_id,dose_id,effect_id,control_id,crop,soil_texture,N_rate,treatment,control,mean_t,sd_t,n_t,mean_c,sd_c,n_c,treatment_id,lnRR,vi,sei,measure,dose_unit
FD01,FD01E1,FD01_N40,FD01_N40,FD01_N0,maize,loam,40,N40,N0,3.922,0.408,4,3.8,0.42,4,FD01_N40,0.0316006610418145,0.0057595017810269,0.0758913814673769,ROM,kg N ha-1
FD01,FD01E1,FD01_N80,FD01_N80,FD01_N0,maize,loam,80,N80,N0,4.013,0.436,4,3.8,0.42,4,FD01_N80,0.0545380245524395,0.0060050537090934,0.0774922816098061,ROM,kg N ha-1
FD01,FD01E1,FD01_N120,FD01_N120,FD01_N0,maize,loam,120,N120,N0,4.074,0.464,4,3.8,0.42,4,FD01_N120,0.0696242510722739,0.0062969193365501,0.0793531306033362,ROM,kg N ha-1
FD01,FD01E1,FD01_N160,FD01_N160,FD01_N0,maize,loam,160,N160,N0,4.104,0.492,4,3.8,0.42,4,FD01_N160,0.0769610411361284,0.0066470024964946,0.0815291512067594,ROM,kg N ha-1
FD02,FD02E1,FD02_N40,FD02_N40,FD02_N0,wheat,clay,40,N40,N0,4.231,0.408,5,4.1,0.46,5,FD02_N40,0.0314513980276683,0.0043773406323261,0.0661614739280054,ROM,kg N ha-1
FD02,FD02E1,FD02_N80,FD02_N80,FD02_N0,wheat,clay,80,N80,N0,4.33,0.436,5,4.1,0.46,5,FD02_N80,0.0545805683041364,0.0045453587094281,0.0674192755035841,ROM,kg N ha-1
FD02,FD02E1,FD02_N120,FD02_N120,FD02_N0,wheat,clay,120,N120,N0,4.395,0.464,5,4.1,0.46,5,FD02_N120,0.0694805574268782,0.0047467447846034,0.0688966238984422,ROM,kg N ha-1
FD02,FD02E1,FD02_N160,FD02_N160,FD02_N0,wheat,clay,160,N160,N0,4.428,0.492,5,4.1,0.46,5,FD02_N160,0.0769610411361284,0.0049866848803989,0.0706164632390984,ROM,kg N ha-1
FD03,FD03E1,FD03_N40,FD03_N40,FD03_N0,maize,sandy,40,N40,N0,4.541,0.408,6,4.4,0.4,6,FD03_N40,0.0315427111915985,0.0027228558491001,0.0521809912621458,ROM,kg N ha-1
FD03,FD03E1,FD03_N80,FD03_N80,FD03_N0,maize,sandy,80,N80,N0,4.646,0.436,6,4.4,0.4,6,FD03_N80,0.0544020934240019,0.002845198415768,0.0533404013461469,ROM,kg N ha-1
FD03,FD03E1,FD03_N120,FD03_N120,FD03_N0,maize,sandy,120,N120,N0,4.717,0.464,6,4.4,0.4,6,FD03_N120,0.0695684633779089,0.002990108137379,0.0546818812531086,ROM,kg N ha-1
