study_id,climate_zone,rainfall,treatment,control,mean_t,sd_t,n_t,mean_c,sd_c,n_c,mean_temp
IR01,semiarid,495,supplemental_irrigation,rainfed,4.823,0.47,5,4.19,0.5,5,27.0
IR02,semiarid,540,supplemental_irrigation,rainfed,4.728,0.49,4,4.28,0.52,4,26.78
IR03,semiarid,585,supplemental_irrigation,rainfed,4.897,0.51,5,4.37,0.48,5,26.55
IR04,semiarid,630,supplemental_irrigation,rainfed,5.008,0.45,4,4.46,0.5,4,26.32
IR05,semiarid,675,supplemental_irrigation,rainfed,5.301,0.47,5,4.55,0.52,5,26.1
IR06,semiarid,720,supplemental_irrigation,rainfed,5.195,0.49,4,4.64,0.48,4,25.88
IR07,transition,765,supplemental_irrigation,rainfed,5.305,0.51,5,4.73,0.5,5,25.65
IR08,transition,810,supplemental_irrigation,rainfed,5.28,0.45,4,4.82,0.52,4,25.42
IR09,transition,855,supplemental_irrigation,rainfed,5.187,0.47,5,4.91,0.48,5,25.2
IR10,transition,900,supplemental_irrigation,rainfed,5.457,0.49,4,5.0,0.5,4,24.98
IR11,transition,945,supplemental_irrigation,rainfed,5.571,0.51,5,5.09,0.52,5,24.75
IR12,transition,990,supplemental_irrigation,rainfed,5.775,0.45,4,5.18,0.48,4,24.52
IR13,transition,1035,supplemental_irrigation,rainfed,5.623,0.47,5,5.27,0.5,5,24.3
IR14,humid,1080,supplemental_irrigation,rainfed,5.803,0.49,4,5.36,0.52,4,24.08
IR15,humid,1125,supplemental_irrigation,rainfed,5.992,0.51,5,5.45,0.48,5,23.85
IR16,humid,1170,supplemental_irrigation,rainfed,5.784,0.45,4,5.54,0.5,4,23.62
IR17,humid,1215,supplemental_irrigation,rainfed,6.156,0.47,5,5.63,0.52,5,23.4
IR18,humid,1260,supplemental_irrigation,rainfed,6.055,0.49,4,5.72,0.48,4,23.18
IR19,humid,1305,supplemental_irrigation,rainfed,6.193,0.51,5,5.81,0.5,5,22.95
IR20,humid,1350,supplemental_irrigation,rainfed,6.163,0.45,4,5.9,0.52,4,22.72
