study_id,experiment_id,site,year,crop,soil_texture,treatment,control,N_rate,mean_t,sd_t,n_t,mean_c,sd_c,n_c
MZ01,MZ01E1,Areia,2018,maize,loam,N50,N0,50,5.074,0.46,5,4.81,0.45,5
MZ01,MZ01E1,Areia,2018,maize,loam,N100,N0,100,5.275,0.485,5,4.81,0.45,5
MZ01,MZ01E1,Areia,2018,maize,loam,N150,N0,150,5.351,0.51,5,4.81,0.45,5
MZ02,MZ02E1,Campina Grande,2019,maize,clay,N50,N0,50,5.1,0.44,4,4.827,0.48,4
MZ02,MZ02E1,Campina Grande,2019,maize,clay,N100,N0,100,5.307,0.465,4,4.827,0.48,4
MZ02,MZ02E1,Campina Grande,2019,maize,clay,N150,N0,150,5.361,0.49,4,4.827,0.48,4
MZ03,MZ03E1,Patos,2020,maize,sandy,N50,N0,50,5.01,0.46,5,4.635,0.42,5
MZ03,MZ03E1,Patos,2020,maize,sandy,N100,N0,100,5.086,0.485,5,4.635,0.42,5
MZ03,MZ03E1,Patos,2020,maize,sandy,N150,N0,150,5.227,0.51,5,4.635,0.42,5
MZ04,MZ04E1,Sousa,2021,maize,loam,N50,N0,50,4.839,0.44,4,4.411,0.45,4
MZ04,MZ04E1,Sousa,2021,maize,loam,N100,N0,100,4.829,0.465,4,4.411,0.45,4
MZ04,MZ04E1,Sousa,2021,maize,loam,N150,N0,150,4.889,0.49,4,4.411,0.45,4
MZ05,MZ05E1,Areia,2022,maize,clay,N50,N0,50,4.763,0.46,5,4.36,0.48,5
MZ05,MZ05E1,Areia,2022,maize,clay,N100,N0,100,4.781,0.485,5,4.36,0.48,5
MZ05,MZ05E1,Areia,2022,maize,clay,N150,N0,150,4.806,0.51,5,4.36,0.48,5
MZ06,MZ06E1,Campina Grande,2017,maize,sandy,N50,N0,50,4.913,0.44,4,4.53,0.42,4
MZ06,MZ06E1,Campina Grande,2017,maize,sandy,N100,N0,100,5.027,0.465,4,4.53,0.42,4
MZ06,MZ06E1,Campina Grande,2017,maize,sandy,N150,N0,150,4.911,0.49,4,4.53,0.42,4
MZ07,MZ07E1,Patos,2018,maize,loam,N50,N0,50,5.139,0.46,5,4.764,0.45,5
MZ07,MZ07E1,Patos,2018,maize,loam,N100,N0,100,5.117,0.485,5,4.764,0.45,5
MZ07,MZ07E1,Patos,2018,maize,loam,N150,N0,150,5.354,0.51,5,4.764,0.45,5
MZ08,MZ08E1,Sousa,2019,maize,clay,N50,N0,50,5.32,0.44,4,4.847,0.48,4
MZ08,MZ08E1,Sousa,2019,maize,clay,N100,N0,100,5.302,0.465,4,4.847,0.48,4
MZ08,MZ08E1,Sousa,2019,maize,clay,N150,N0,150,5.311,0.49,4,4.847,0.48,4
