study_id,outcome,treatment,control,mean_t,sd_t,n_t,mean_c,sd_c,n_c,mv_study_id,climate_zone,lnRR,yi,vi,sei,measure
SM01,soil_C,conservation,conventional,18.547,1.573,5,16.56,1.656,5,SMV01,semiarid,0.11331790195,0.11331790195,0.00343860013585,0.0586395782373,ROM
SM02,infiltration,conservation,conventional,27.73,2.232,6,23.5,2.35,6,SMV01,semiarid,0.165514438478,0.165514438478,0.00274645191749,0.0524066018503,ROM
SM03,yield,conservation,conventional,4.355,0.383,4,4.032,0.403,4,SMV01,semiarid,0.0770620795354,0.0770620795354,0.00443109641656,0.066566481179,ROM
SM04,soil_C,conservation,conventional,19.757,1.676,5,17.64,1.764,5,SMV02,transition,0.113338808353,0.113338808353,0.00343924929222,0.0586451131146,ROM
SM05,infiltration,conservation,conventional,26.55,2.137,6,22.5,2.25,6,SMV02,transition,0.165514438478,0.165514438478,0.0027464304165,0.0524063967136,ROM
SM06,yield,conservation,conventional,4.173,0.367,4,3.864,0.386,4,SMV02,transition,0.0769322852591,0.0769322852591,0.004428465566,0.0665467171692,ROM
SM07,soil_C,conservation,conventional,18.95,1.607,5,16.92,1.692,5,SMV03,humid,0.11330757735,0.11330757735,0.00343827959984,0.0586368450706,ROM
SM08,infiltration,conservation,conventional,28.32,2.28,6,24.0,2.4,6,SMV03,humid,0.165514438478,0.165514438478,0.00274693574643,0.0524112177538,ROM
SM09,yield,conservation,conventional,4.445,0.391,4,4.116,0.412,4,SMV03,humid,0.0768980509941,0.0768980509941,0.00443927796946,0.0666279068368,ROM
SM10,soil_C,conservation,conventional,18.144,1.539,5,16.2,1.62,5,SMV04,semiarid,0.113328685307,0.113328685307,0.00343893494898,0.058642433007,ROM
SM11,infiltration,conservation,conventional,27.14,2.185,6,23.0,2.3,6,SMV04,semiarid,0.165514438478,0.165514438478,0.00274693574643,0.0524112177538,ROM
SM12,yield,conservation,conventional,4.264,0.375,4,3.948,0.395,4,SMV04,semiarid,0.0769985652923,0.0769985652923,0.00443614031347,0.0666043565653,ROM
SM13,soil_C,conservation,conventional,19.354,1.642,5,17.28,1.728,5,SMV05,transition,0.113349353083,0.113349353083,0.00343957676284,0.0586479050166,ROM
SM14,infiltration,conservation,conventional,28.91,2.328,6,24.5,2.45,6,SMV05,transition,0.165514438478,0.165514438478,0.00274739992908,0.0524156458424,ROM
SM15,yield,conservation,conventional,4.082,0.359,4,3.78,0.378,4,SMV05,transition,0.0768630547562,0.0768630547562,0.00443367242955,0.0665858275427,ROM
SM16,soil_C,conservation,conventional,18.547,1.573,5,16.56,1.656,5,SMV06,humid,0.11331790195,0.11331790195,0.00343860013585,0.0586395782373,ROM
SM17,infiltration,conservation,conventional,27.73,2.232,6,23.5,2.35,6,SMV06,humid,0.165514438478,0.165514438478,0.00274645191749,0.0524066018503,ROM
SM18,yield,conservation,conventional,4.355,0.383,4,4.032,0.403,4,SMV06,humid,0.0770620795354,0.0770620795354,0.00443109641656,0.066566481179,ROM
