function,source_file,roxygen_calls,vignette_calls,manual_present,test_present
apm_read,data-read.R,3,4,True,True
apm_validate,data-validate.R,3,5,True,True
apm_audit,data-audit.R,3,5,True,True
apm_plan,plan.R,3,5,True,True
apm_recover_uncertainty,uncertainty.R,3,6,True,True
apm_effect_size,effect-size.R,3,26,True,True
apm_fit,fit-core.R,3,15,True,True
apm_subgroup,subgroup.R,3,7,True,True
apm_heterogeneity,heterogeneity.R,3,9,True,True
apm_prediction,prediction.R,3,7,True,True
apm_threshold,threshold.R,3,7,True,True
apm_forest,plot-forest.R,3,7,True,True
apm_funnel,plot-funnel.R,3,7,True,True
apm_table,table.R,3,11,True,True
apm_shared_control,dependence-shared-control.R,3,5,True,True
apm_vcov,dependence-vcov.R,3,13,True,True
apm_pair_vcov,dependence-paired.R,3,4,True,True
apm_dependence_audit,dependence-audit.R,3,3,True,True
apm_rho_sensitivity,sensitivity-rho.R,3,4,True,True
apm_multilevel,fit-multilevel.R,3,6,True,True
apm_variance_components,variance-components.R,3,4,True,True
apm_robust,robust.R,3,5,True,True
apm_wild_bootstrap,wild-bootstrap.R,3,4,True,True
apm_compare_inference,compare-inference.R,3,5,True,True
apm_metareg,metareg.R,3,13,True,True
apm_marginal_effects,marginal-effects.R,3,7,True,True
apm_interaction,interaction.R,3,5,True,True
apm_metareg_curve,metareg-curve.R,3,6,True,True
apm_model_compare,model-compare.R,3,5,True,True
apm_predict_context,predict-context.R,3,5,True,True
apm_curve_features,curve-features.R,3,7,True,True
apm_dose_response,dose-response.R,3,10,True,True
apm_dose_plot,plot-dose.R,3,8,True,True
apm_bubble,plot-bubble.R,3,5,True,True
apm_multivariate,multivariate.R,3,9,True,True
apm_mvcor_sensitivity,sensitivity-mvcor.R,3,7,True,True
apm_prior,bayes-prior.R,3,10,True,True
apm_prior_check,bayes-prior-check.R,3,6,True,True
apm_bayes,bayes-fit.R,3,6,True,True
apm_bayes_predict,bayes-predict.R,3,6,True,True
apm_bayes_threshold,bayes-threshold.R,3,6,True,True
apm_bayes_diagnostics,bayes-diagnostics.R,3,6,True,True
apm_bayes_compare,bayes-compare.R,3,6,True,True
apm_multivariate_plot,plot-multivariate.R,3,6,True,True
apm_influence,diagnostics-influence.R,3,7,True,True
apm_leave_one_out,diagnostics-leave-one-out.R,3,7,True,True
apm_gosh,diagnostics-gosh.R,3,6,True,True
apm_bias,publication-bias.R,3,7,True,True
apm_funnel_contour,plot-funnel.R,3,6,True,True
apm_orchard,plot-orchard.R,3,9,True,True
apm_moderator_screen,moderator-screen.R,3,7,True,True
apm_report,report.R,3,7,True,True
apm_explain,explain.R,3,8,True,True
apm_export,export.R,3,7,True,True
apm_workflow,workflow.R,3,4,True,True
apm_capabilities,capabilities.R,3,3,True,True
apm_doctor,doctor.R,3,3,True,True
